label,B_T,worst_min_inter_MHz,median_min_inter_MHz,best_min_inter_MHz
1p35T,1.35,0.05419642339256825,0.20856074907715083,0.5276280968892024
robust_optimum,1.7139999999999929,1.0927413435001654,1.20056872483201,1.5979797464533476
