case,B_T,fR_kHz,gate_time_us,ground_logical_Favg,excited_logical_Favg,worst_branch_logical_Favg,branch_to_branch_Favg,ground_nfev,excited_nfev
1p35_sourcebacked,1.35,5.0,49.99999999999999,0.9897215774600779,0.9880426965788744,0.9880426965788744,0.9712178113562207,120626,120626
1p35_sourcebacked,1.35,10.0,24.999999999999996,0.9416489418440683,0.9414267763511174,0.9414267763511174,0.8505594632179984,60314,60314
1p35_sourcebacked,1.35,20.0,12.499999999999998,0.5496004061909429,0.5458030017245026,0.5458030017245026,0.30910873729845423,30170,30170
1p35_sourcebacked,1.35,35.0,7.1428571428571415,0.19825695714799732,0.2034530950706562,0.19825695714799732,0.148038717180884,17246,17246
1p35_sourcebacked,1.35,50.0,5.0,0.2654047778974075,0.20535259677131015,0.20535259677131015,0.18380019762703348,12074,12074
1p35_sourcebacked,1.35,75.0,3.3333333333333335,0.20227740705878633,0.20126158762933308,0.20126158762933308,0.13788821800185602,8054,8054
1p35_sourcebacked,1.35,100.0,2.5,0.1483015233437851,0.14023075890268652,0.14023075890268652,0.1350596497633024,6050,6050
1p35_sourcebacked,1.35,110.0,2.272727272727273,0.15564236774962037,0.14545830678689933,0.14545830678689933,0.13784184188275386,5498,5498
1p35_sourcebacked,1.35,150.0,1.6666666666666667,0.13570664067376562,0.13041892010538422,0.13041892010538422,0.11394378260239708,4034,4034
robust_sourcebacked,1.7139999999999929,5.0,49.99999999999999,0.9994750455088158,0.9998337547151019,0.9994750455088158,0.9993336969993827,133742,133742
robust_sourcebacked,1.7139999999999929,10.0,24.999999999999996,0.9974387092435586,0.9991347056966016,0.9974387092435586,0.9961152977775191,66878,66878
robust_sourcebacked,1.7139999999999929,20.0,12.499999999999998,0.9908015624555395,0.9965118774907923,0.9908015624555395,0.9826915466174708,33446,33446
robust_sourcebacked,1.7139999999999929,35.0,7.1428571428571415,0.9766252715317127,0.9892538012156561,0.9766252715317127,0.9621562175263342,19118,19118
robust_sourcebacked,1.7139999999999929,50.0,5.0,0.9397136904030611,0.9769322401448535,0.9397136904030611,0.9132727501973782,13382,13382
robust_sourcebacked,1.7139999999999929,75.0,3.3333333333333335,0.85516295432164,0.9307818535731869,0.85516295432164,0.8099935255312247,8930,8930
robust_sourcebacked,1.7139999999999929,100.0,2.5,0.7260076419536668,0.8666045146479884,0.7260076419536668,0.6183941664951491,6698,6698
robust_sourcebacked,1.7139999999999929,110.0,2.272727272727273,0.649600070574321,0.8089559887670661,0.649600070574321,0.6086785223582921,6098,6098
robust_sourcebacked,1.7139999999999929,150.0,1.6666666666666667,0.3652722672715857,0.6056890011026761,0.3652722672715857,0.31601745664509473,4478,4478
robust_spectral_limiting_case,1.7139999999999929,5.0,49.99999999999999,0.9996341457413762,0.999694115926461,0.9996341457413762,0.9989588686845896,125162,127034
robust_spectral_limiting_case,1.7139999999999929,10.0,24.999999999999996,0.998731131797148,0.9992543297679508,0.998731131797148,0.9970107418599462,62582,63518
robust_spectral_limiting_case,1.7139999999999929,20.0,12.499999999999998,0.9949719630549618,0.9962353502259299,0.9949719630549618,0.984886866570828,31298,31766
robust_spectral_limiting_case,1.7139999999999929,35.0,7.1428571428571415,0.9773327167286118,0.9841538539931037,0.9773327167286118,0.9292755335107334,17894,18158
robust_spectral_limiting_case,1.7139999999999929,50.0,5.0,0.9635260383021998,0.9769088344135499,0.9635260383021998,0.894797109043261,12530,12722
robust_spectral_limiting_case,1.7139999999999929,75.0,3.3333333333333335,0.909470683389886,0.9460919076231021,0.909470683389886,0.7954380307663036,8366,8486
robust_spectral_limiting_case,1.7139999999999929,100.0,2.5,0.8276793279887473,0.8900594882403746,0.8276793279887473,0.6804405165521992,6278,6374
robust_spectral_limiting_case,1.7139999999999929,110.0,2.272727272727273,0.8173494336834338,0.8682222528811665,0.8173494336834338,0.6786000183954761,5702,5786
robust_spectral_limiting_case,1.7139999999999929,150.0,1.6666666666666667,0.5951819752268672,0.7190182033162074,0.5951819752268672,0.41204797244603764,4190,4250
