encoding,n_circuits,mean_return,std_across_seeds,median_return,min_return,max_return,median_twoq,median_depth
binary,5,0.848974609375,0.0029378142493147073,0.84814453125,0.8466796875,0.85400390625,49.0,185.0
gray,5,0.910400390625,0.0028575927516405336,0.91015625,0.90625,0.9130859375,18.0,69.0
