parameter,span_MHz,min_MHz,max_MHz
Btip_T,0.00014291513252828736,1.5910607455007266,1.591203660633255
phi_deg,0.00020885255980829243,1.591048535603477,1.5912573881632852
gperp_over_gz,0.00027745086390496,1.5910281852520711,1.591305636115976
Az_MHz,0.0010946559295916813,1.5900375790379258,1.5911322349675174
gz,0.002377460112256813,1.5899019684056839,1.5922794285179407
Aperp_over_Az,0.23040512072748243,1.3945725497824242,1.6249776705099066
kappa_MHz,0.2996929694436403,1.2914392655238771,1.5911322349675174
