case,B_T,fR_kHz,gate_time_us,ground_logical_Favg,excited_logical_Favg,worst_branch_logical_Favg,branch_to_branch_Favg,ground_nfev,excited_nfev,worst_branch_Favg
1p35_sourcebacked,1.35,1.0,250.0,0.9995790560447716,0.9995624690565976,0.9995624690565976,0.9989558580052184,603098,603098,0.9995624690565976
1p35_sourcebacked,1.35,1.25,200.0,0.9995173424013986,0.9995384341096084,0.9995173424013986,0.999060373124436,482474,482474,0.9995173424013986
1p35_sourcebacked,1.35,1.5,166.66666666666666,0.9990144390086814,0.9990179566534004,0.9990144390086814,0.9973333995588736,402062,402062,0.9990144390086814
1p35_sourcebacked,1.35,1.75,142.85714285714286,0.9986338503934808,0.9984534885152196,0.9984534885152196,0.9959140363667957,344630,344630,0.9984534885152196
1p35_sourcebacked,1.35,2.0,125.0,0.9982903389771544,0.9984209531586352,0.9982903389771544,0.9960400739147358,301550,301550,0.9982903389771544
1p35_sourcebacked,1.35,2.25,111.11111111111111,0.9979366466789196,0.9982628609813003,0.9979366466789196,0.9954904166020556,268046,268046,0.9979366466789196
1p35_sourcebacked,1.35,2.5,100.0,0.9970740953569748,0.9969948198371292,0.9969948198371292,0.9924119469149674,241238,241238,0.9969948198371292
1p35_sourcebacked,1.35,2.75,90.90909090909092,0.996913853721594,0.9968242789197094,0.9968242789197094,0.9909120149608148,219314,219314,0.9968242789197094
1p35_sourcebacked,1.35,3.0,83.33333333333333,0.996829898489032,0.9972688777876908,0.996829898489032,0.9930676936680192,201038,201038,0.996829898489032
1p35_sourcebacked,1.35,3.25,76.92307692307692,0.995930164248629,0.9963765880277786,0.995930164248629,0.9904434279307262,185570,185570,0.995930164248629
1p35_sourcebacked,1.35,3.5,71.42857142857143,0.9951061057363534,0.994526349808593,0.994526349808593,0.9848139200496804,172322,172322,0.994526349808593
1p35_sourcebacked,1.35,3.75,66.66666666666667,0.9946293344911558,0.99305048663676,0.99305048663676,0.9848521114229016,160826,160826,0.99305048663676
1p35_sourcebacked,1.35,4.0,62.49999999999999,0.9920871182775274,0.9925318171805676,0.9920871182775274,0.9803148116748778,150782,150782,0.9920871182775274
1p35_sourcebacked,1.35,4.25,58.8235294117647,0.9936471943099308,0.9925352892841652,0.9925352892841652,0.9815856456406452,141914,141914,0.9925352892841652
1p35_sourcebacked,1.35,4.5,55.55555555555557,0.9903466476294432,0.9902898229276488,0.9902898229276488,0.9746070165161846,134030,134030,0.9902898229276488
1p35_sourcebacked,1.35,4.75,52.631578947368425,0.9917061865915856,0.9906875861460662,0.9906875861460662,0.9786008813851964,126974,126974,0.9906875861460662
1p35_sourcebacked,1.35,5.0,49.99999999999999,0.989721577460078,0.9880426965788744,0.9880426965788744,0.9712178113562208,120626,120626,0.9880426965788744
robust_sourcebacked,1.7139999999999929,1.0,250.0,0.9999769060664386,0.9999906266342884,0.9999769060664386,0.9999673363003884,668654,668654,0.9999769060664386
robust_sourcebacked,1.7139999999999929,1.25,200.0,0.9999690104358028,0.9999925655740936,0.9999690104358028,0.9999562991716272,534926,534926,0.9999690104358028
robust_sourcebacked,1.7139999999999929,1.5,166.66666666666666,0.9999459501465852,0.9999821930400712,0.9999459501465852,0.9999320767722416,445766,445766,0.9999459501465852
robust_sourcebacked,1.7139999999999929,1.75,142.85714285714286,0.999938297076726,0.9999772417394206,0.999938297076726,0.9999061122479196,382094,382094,0.999938297076726
robust_sourcebacked,1.7139999999999929,2.0,125.0,0.9999017937855864,0.9999672705385324,0.9999017937855864,0.9998762541811989,334334,334334,0.9999017937855864
robust_sourcebacked,1.7139999999999929,2.25,111.11111111111111,0.999889650628648,0.9999549787162868,0.999889650628648,0.9998264478624336,297182,297182,0.999889650628648
robust_sourcebacked,1.7139999999999929,2.5,100.0,0.99988303174897,0.9999556569935132,0.99988303174897,0.999833054741294,267470,267470,0.99988303174897
robust_sourcebacked,1.7139999999999929,2.75,90.90909090909092,0.9998457273818996,0.9999497893704088,0.9998457273818996,0.9997573663317152,243146,243146,0.9998457273818996
robust_sourcebacked,1.7139999999999929,3.0,83.33333333333333,0.999819038124484,0.9999522432127266,0.999819038124484,0.9997575535589192,222890,222890,0.999819038124484
robust_sourcebacked,1.7139999999999929,3.25,76.92307692307692,0.9997613912485112,0.999926330055374,0.9997613912485112,0.99965314027276,205742,205742,0.9997613912485112
robust_sourcebacked,1.7139999999999929,3.5,71.42857142857143,0.9997605234152,0.9998879557432344,0.9997605234152,0.9995534014382242,191054,191054,0.9997605234152
robust_sourcebacked,1.7139999999999929,3.75,66.66666666666667,0.99971776445029,0.9998882689188536,0.99971776445029,0.9996091393142856,178310,178310,0.99971776445029
robust_sourcebacked,1.7139999999999929,4.0,62.49999999999999,0.9996580969557572,0.999906114961972,0.9996580969557572,0.9994648878584244,167174,167174,0.9996580969557572
robust_sourcebacked,1.7139999999999929,4.25,58.8235294117647,0.9996465190898988,0.9999023874975688,0.9996465190898988,0.9995111221087624,157334,157334,0.9996465190898988
robust_sourcebacked,1.7139999999999929,4.5,55.55555555555557,0.9995887692758944,0.9998546947490138,0.9995887692758944,0.999351789970437,148598,148598,0.9995887692758944
robust_sourcebacked,1.7139999999999929,4.75,52.631578947368425,0.9995985801070209,0.9998284831968044,0.9995985801070209,0.9992906781272782,140774,140774,0.9995985801070209
robust_sourcebacked,1.7139999999999929,5.0,49.99999999999999,0.9994750455088158,0.999833754715102,0.9994750455088158,0.9993336969993828,133742,133742,0.9994750455088158
robust_spectral_limiting_case,1.7139999999999929,1.0,250.0,0.9999869174161649,0.999990255674184,0.9999869174161649,0.9999605025834252,625790,635126,0.9999869174161649
robust_spectral_limiting_case,1.7139999999999929,1.25,200.0,0.9999800946861254,0.9999868123558844,0.9999800946861254,0.9999493130411106,500630,508106,0.9999800946861254
robust_spectral_limiting_case,1.7139999999999929,1.5,166.66666666666666,0.9999677973671788,0.9999809601109856,0.9999677973671788,0.999918281780976,417194,423422,0.9999677973671788
robust_spectral_limiting_case,1.7139999999999929,1.75,142.85714285714286,0.9999579950789016,0.999959564414978,0.9999579950789016,0.9998530271848074,357590,362930,0.9999579950789016
robust_spectral_limiting_case,1.7139999999999929,2.0,125.0,0.9999529308569856,0.999961345797463,0.9999529308569856,0.9998678217450466,312902,317570,0.9999529308569856
robust_spectral_limiting_case,1.7139999999999929,2.25,111.11111111111111,0.999924516089883,0.999942026026701,0.999924516089883,0.9997590066140164,278126,282278,0.999924516089883
robust_spectral_limiting_case,1.7139999999999929,2.5,100.0,0.9999280740536496,0.999949142046622,0.9999280740536496,0.9998004309251656,250322,254054,0.9999280740536496
robust_spectral_limiting_case,1.7139999999999929,2.75,90.90909090909092,0.9998882748005958,0.999932415393443,0.9998882748005958,0.9996728863569836,227558,230954,0.9998882748005958
robust_spectral_limiting_case,1.7139999999999929,3.0,83.33333333333333,0.9999150197690267,0.9999024386963512,0.9999024386963512,0.99968198483058,208598,211718,0.9999024386963512
robust_spectral_limiting_case,1.7139999999999929,3.25,76.92307692307692,0.9998991725220536,0.9998817434216486,0.9998817434216486,0.999636592828618,192554,195434,0.9998817434216486
robust_spectral_limiting_case,1.7139999999999929,3.5,71.42857142857143,0.9998221320982056,0.999872883761634,0.9998221320982056,0.999582917636189,178802,181466,0.9998221320982056
robust_spectral_limiting_case,1.7139999999999929,3.75,66.66666666666667,0.999808476068624,0.9998506207484082,0.999808476068624,0.9993750687303256,166886,169370,0.999808476068624
