case,B_T,fR_kHz,gate_time_us,ground_logical_Favg,excited_logical_Favg,worst_branch_logical_Favg,branch_to_branch_Favg,ground_nfev,excited_nfev,worst_branch_Favg
1p35_sourcebacked,1.35,5.0,49.99999999999999,0.989721577460078,0.9880426965788744,0.9880426965788744,0.9712178113562208,120626,120626,0.9880426965788744
1p35_sourcebacked,1.35,5.25,47.61904761904761,0.9874655120224602,0.9876430914625066,0.9874655120224602,0.9719895057974934,114878,114878,0.9874655120224602
1p35_sourcebacked,1.35,5.5,45.45454545454546,0.9869400718326832,0.9849839839183236,0.9849839839183236,0.9641146043580038,109658,109658,0.9849839839183236
1p35_sourcebacked,1.35,5.75,43.47826086956522,0.988618583178297,0.9864291638720032,0.9864291638720032,0.967316544916883,104894,104894,0.9864291638720032
1p35_sourcebacked,1.35,6.0,41.66666666666666,0.9847635513600284,0.9851536357858924,0.9847635513600284,0.9691063863864824,100526,100526,0.9847635513600284
1p35_sourcebacked,1.35,6.25,40.0,0.9792103591739172,0.9786647646042934,0.9786647646042934,0.9516432624387956,96506,96506,0.9786647646042934
1p35_sourcebacked,1.35,6.5,38.46153846153846,0.9796115168260208,0.97620430242996,0.97620430242996,0.941365637420753,92786,92786,0.97620430242996
1p35_sourcebacked,1.35,6.75,37.03703703703704,0.9851542415078622,0.9820936595537442,0.9820936595537442,0.9565727684616836,89354,89354,0.9820936595537442
1p35_sourcebacked,1.35,7.0,35.714285714285715,0.9840525328178634,0.9829237547703168,0.9829237547703168,0.9634460353951828,86162,86162,0.9829237547703168
1p35_sourcebacked,1.35,7.25,34.48275862068965,0.975396586593296,0.9761239266994374,0.975396586593296,0.9534037310440788,83198,83198,0.975396586593296
1p35_sourcebacked,1.35,7.5,33.333333333333336,0.965515606082892,0.9635653908135268,0.9635653908135268,0.9201314060411802,80414,80414,0.9635653908135268
1p35_sourcebacked,1.35,7.75,32.25806451612903,0.9626730611967014,0.9603922833824288,0.9603922833824288,0.8986875175553511,77822,77822,0.9603922833824288
1p35_sourcebacked,1.35,8.0,31.25,0.9708635898737386,0.967389569073774,0.967389569073774,0.9143838571738286,75398,75398,0.967389569073774
1p35_sourcebacked,1.35,8.25,30.3030303030303,0.9777473951921998,0.9750089932961686,0.9750089932961686,0.9346651134641284,73106,73106,0.9750089932961686
1p35_sourcebacked,1.35,8.5,29.41176470588235,0.978765352677684,0.9767525120889108,0.9767525120889108,0.9491248726157532,70958,70958,0.9767525120889108
1p35_sourcebacked,1.35,8.75,28.57142857142857,0.9690062595997502,0.9671666797996332,0.9671666797996332,0.9444444462912284,68930,68930,0.9671666797996332
1p35_sourcebacked,1.35,9.0,27.777777777777786,0.9501370979332996,0.9480564481698242,0.9480564481698242,0.9137878925032108,67022,67022,0.9480564481698242
1p35_sourcebacked,1.35,9.25,27.027027027027028,0.9408617971796436,0.93750046370684,0.93750046370684,0.8784641226952803,65210,65210,0.93750046370684
1p35_sourcebacked,1.35,9.5,26.31578947368421,0.9367497165574916,0.9328997633422484,0.9328997633422484,0.8534188002225633,63494,63494,0.9328997633422484
1p35_sourcebacked,1.35,9.75,25.64102564102564,0.9342078929786256,0.932481483695049,0.932481483695049,0.8372110980420037,61862,61862,0.932481483695049
1p35_sourcebacked,1.35,10.0,25.0,0.9416489418440684,0.9414267763511174,0.9414267763511174,0.8505594632179984,60314,60314,0.9414267763511174
1p35_sourcebacked,1.35,10.25,24.39024390243902,0.9504414443885492,0.9520298323528914,0.9504414443885492,0.871908891223682,58850,58850,0.9504414443885492
1p35_sourcebacked,1.35,10.5,23.809523809523807,0.9567869899146868,0.9595483444484656,0.9567869899146868,0.8876648483742688,57446,57446,0.9567869899146868
1p35_sourcebacked,1.35,10.75,23.25581395348837,0.9570364580006712,0.9586702702273452,0.9570364580006712,0.8951265411488646,56114,56114,0.9570364580006712
1p35_sourcebacked,1.35,11.0,22.72727272727273,0.9572309186225252,0.9530518850191396,0.9530518850191396,0.8990729019394573,54830,54830,0.9530518850191396
1p35_sourcebacked,1.35,11.25,22.22222222222222,0.9442129236585984,0.9390923141060478,0.9390923141060478,0.8986068324794805,53618,53618,0.9390923141060478
1p35_sourcebacked,1.35,11.5,21.73913043478261,0.9225310192397164,0.9176539087738892,0.9176539087738892,0.875433180649055,52454,52454,0.9176539087738892
1p35_sourcebacked,1.35,11.75,21.27659574468085,0.9146294913272232,0.906740614461331,0.906740614461331,0.8544370329426275,51338,51338,0.906740614461331
1p35_sourcebacked,1.35,12.0,20.83333333333333,0.8888939617524348,0.8827161077718938,0.8827161077718938,0.810391625644045,50270,50270,0.8827161077718938
1p35_sourcebacked,1.35,12.25,20.40816326530612,0.8789102661715077,0.8724262455136106,0.8724262455136106,0.7780575372709291,49238,49238,0.8724262455136106
1p35_sourcebacked,1.35,12.5,20.0,0.8759639194266788,0.8673017703090034,0.8673017703090034,0.7563658869484791,48254,48254,0.8673017703090034
1p35_sourcebacked,1.35,12.75,19.607843137254903,0.8599504862525561,0.857602129814948,0.857602129814948,0.7193926630480809,47306,47306,0.857602129814948
1p35_sourcebacked,1.35,13.0,19.23076923076923,0.8600561049149066,0.8577747078934972,0.8577747078934972,0.7089638111859986,46394,46394,0.8577747078934972
1p35_sourcebacked,1.35,13.25,18.867924528301888,0.8608502436325197,0.8602803732687142,0.8602803732687142,0.7081847946085059,45530,45530,0.8602803732687142
1p35_sourcebacked,1.35,13.5,18.51851851851852,0.8636891012887639,0.8637237533872663,0.8636891012887639,0.7082882656355223,44678,44678,0.8636891012887639
1p35_sourcebacked,1.35,13.75,18.181818181818183,0.8657723086109219,0.8654166807069446,0.8654166807069446,0.707484066656687,43874,43874,0.8654166807069446
1p35_sourcebacked,1.35,14.0,17.857142857142858,0.8716624669766675,0.8740879676620632,0.8716624669766675,0.7245992114049957,43082,43082,0.8716624669766675
1p35_sourcebacked,1.35,14.25,17.543859649122805,0.8744049545089739,0.8802393971035123,0.8744049545089739,0.7355203386673722,42326,42326,0.8744049545089739
1p35_sourcebacked,1.35,14.5,17.241379310344826,0.8746627795475392,0.88073662963072,0.8746627795475392,0.735008678990299,41606,41606,0.8746627795475392
1p35_sourcebacked,1.35,14.75,16.949152542372882,0.874377757699555,0.8774260689988608,0.874377757699555,0.7276498390006032,40898,40898,0.874377757699555
1p35_sourcebacked,1.35,15.0,16.666666666666668,0.8729263950117261,0.8712233399938767,0.8712233399938767,0.7199734768430944,40214,40214,0.8712233399938767
1p35_sourcebacked,1.35,15.25,16.393442622950822,0.8675994009964598,0.862043071704461,0.862043071704461,0.718509172094664,39554,39554,0.862043071704461
1p35_sourcebacked,1.35,15.5,16.129032258064516,0.8577716214180103,0.8505115991605713,0.8505115991605713,0.721091215000782,38918,38918,0.8505115991605713
1p35_sourcebacked,1.35,15.75,15.873015873015872,0.8421693699763809,0.8330639295438897,0.8330639295438897,0.7220621244865133,38294,38294,0.8330639295438897
1p35_sourcebacked,1.35,16.0,15.624999999999998,0.8225226738016157,0.8163670843125326,0.8163670843125326,0.7073073984869666,37706,37706,0.8163670843125326
1p35_sourcebacked,1.35,16.25,15.384615384615383,0.797330493034829,0.7897100465018965,0.7897100465018965,0.6927277416618999,37118,37118,0.7897100465018965
1p35_sourcebacked,1.35,16.5,15.15151515151515,0.8100463393106334,0.7830939422891244,0.7830939422891244,0.6859542328616807,36554,36554,0.7830939422891244
1p35_sourcebacked,1.35,16.75,14.925373134328357,0.7802489649889627,0.7579150483433598,0.7579150483433598,0.6634631045001425,36014,36014,0.7579150483433598
1p35_sourcebacked,1.35,17.0,14.705882352941176,0.7512403272541951,0.7310267134255253,0.7310267134255253,0.6383050157643172,35486,35486,0.7310267134255253
1p35_sourcebacked,1.35,17.25,14.492753623188406,0.7219265654768343,0.7034134976005586,0.7034134976005586,0.6026681669050007,34970,34970,0.7034134976005586
1p35_sourcebacked,1.35,17.5,14.285714285714285,0.7246485202453017,0.6966598148216271,0.6966598148216271,0.5848419639951821,34466,34466,0.6966598148216271
1p35_sourcebacked,1.35,17.75,14.084507042253522,0.6894805662160977,0.6656677504100341,0.6656677504100341,0.5435241763700822,33986,33986,0.6656677504100341
1p35_sourcebacked,1.35,18.0,13.888888888888893,0.664505020024014,0.6463243489463539,0.6463243489463539,0.5068758188906544,33518,33518,0.6463243489463539
1p35_sourcebacked,1.35,18.25,13.698630136986305,0.6626372531398321,0.6396964672113845,0.6396964672113845,0.4899226341684248,33050,33050,0.6396964672113845
1p35_sourcebacked,1.35,18.5,13.513513513513514,0.6322949146790194,0.6159050547832505,0.6159050547832505,0.446537568697499,32606,32606,0.6159050547832505
1p35_sourcebacked,1.35,18.75,13.333333333333334,0.6377063301386807,0.6037005198043722,0.6037005198043722,0.4247135694895831,32174,32174,0.6037005198043722
1p35_sourcebacked,1.35,19.0,13.157894736842106,0.6020055675475251,0.5851604836560611,0.5851604836560611,0.3863945104642901,31754,31754,0.5851604836560611
1p35_sourcebacked,1.35,19.25,12.987012987012989,0.5861669664519349,0.5769228969934507,0.5769228969934507,0.3643418071792605,31334,31334,0.5769228969934507
1p35_sourcebacked,1.35,19.5,12.82051282051282,0.5766597074297617,0.5663141518029915,0.5663141518029915,0.3469992862842002,30938,30938,0.5663141518029915
1p35_sourcebacked,1.35,19.75,12.658227848101266,0.5485775504246022,0.5529286277470294,0.5485775504246022,0.3187509436092532,30542,30542,0.5485775504246022
1p35_sourcebacked,1.35,20.0,12.499999999999998,0.5496004061909429,0.5458030017245026,0.5458030017245026,0.3091087372984542,30170,30170,0.5458030017245026
1p35_sourcebacked,1.35,20.25,12.34567901234568,0.5213100583703878,0.5344182260947049,0.5213100583703878,0.288482589006021,29786,29786,0.5213100583703878
1p35_sourcebacked,1.35,20.5,12.19512195121951,0.5220138008177065,0.5264895807108281,0.5220138008177065,0.278758679191843,29426,29426,0.5220138008177065
1p35_sourcebacked,1.35,20.75,12.048192771084338,0.4935697899857458,0.5164256292679303,0.4935697899857458,0.2655004430914436,29078,29078,0.4935697899857458
1p35_sourcebacked,1.35,21.0,11.904761904761903,0.4935300589235337,0.5078988905463779,0.4935300589235337,0.2553931943906892,28730,28730,0.4935300589235337
1p35_sourcebacked,1.35,21.25,11.764705882352938,0.4688235089841033,0.4998051422501657,0.4688235089841033,0.2509326030777881,28394,28394,0.4688235089841033
1p35_sourcebacked,1.35,21.5,11.627906976744187,0.4648044884038652,0.4888857075271932,0.4648044884038652,0.2373282067178815,28058,28058,0.4648044884038652
1p35_sourcebacked,1.35,21.75,11.49425287356322,0.4594130533177826,0.479544453136528,0.4594130533177826,0.243285752727182,27734,27734,0.4594130533177826
1p35_sourcebacked,1.35,22.0,11.363636363636363,0.4337055827469702,0.467274414111744,0.4337055827469702,0.222647448680193,27422,27422,0.4337055827469702
