B_T,worst_MHz,p05_MHz,median_MHz,p95_MHz,best_MHz,limiting_index,limit_kappa_MHz,limit_gz,limit_Btip_T,limit_phi_deg,limit_Az_MHz,limit_Aperp_over_Az,limit_gperp_over_gz
1.017,1.127036691846115,1.1439165034033068,1.3607240584562987,1.5664438318599196,1.5665771654967102,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0171999999999999,1.1280412322212214,1.1449180439530664,1.3607259244909073,1.5674034011059803,1.5675366614241284,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0173999999999999,1.1290457563691234,1.1459195693269522,1.360727789912744,1.5683629702907411,1.5684961573415421,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0175999999999998,1.1300502642775427,1.1469210795350135,1.3601499318076549,1.5693225394280035,1.5694556532598654,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0177999999999998,1.1310547559610313,1.1479225745933035,1.359191056508962,1.5702821085002596,1.5704151491709126,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0179999999999998,1.1320592314441456,1.1489240545011854,1.3582321809906261,1.5712416775183329,1.57137464508196,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0181999999999998,1.1330636907036933,1.1499255192654345,1.3572733052485546,1.5722012464732642,1.5723341409793647,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0183999999999997,1.1340681337810565,1.1509269688994208,1.3563144292984362,1.5731608153697834,1.5732936368785886,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0185999999999997,1.1350725606666856,1.1519284034035535,1.3553555531152597,1.5741203842116875,1.574253132767808,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0187999999999997,1.1360769713787704,1.152929822782744,1.3543966767290385,1.5750799529917685,1.575212628654299,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0189999999999997,1.137081365904578,1.1539312270641404,1.3542745632198603,1.5760395217163476,1.5761721245407898,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0191999999999997,1.1380857442854904,1.1549326162450597,1.3542947311620992,1.5769990903838789,1.5771316204181858,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0193999999999996,1.139090106497406,1.1559339903305954,1.3543148918695351,1.577958658990815,1.5780911162901248,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0195999999999996,1.140094452570338,1.1569353493254766,1.3537519496967434,1.5789182275379972,1.5790506121602448,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0197999999999996,1.1410987825229313,1.1579366932507582,1.3527926001545438,1.5798777960263124,1.5800101080249078,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0199999999999996,1.1421030963324483,1.1589380221092598,1.3518332505072976,1.580837364460399,1.580969603880476,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0201999999999996,1.1431073940234455,1.1599393359058923,1.3508766544891841,1.5817969328377786,1.5819290997369535,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0203999999999995,1.1441116756109295,1.1609406346567084,1.3500749231534428,1.5827565011543583,1.5828885955834266,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0205999999999995,1.1451159411003573,1.1619419183634363,1.3491191370087563,1.5837160694194836,1.5838480914262618,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0207999999999995,1.1461201904849077,1.1629431870264397,1.3481596978620018,1.58467563762822,1.5848075872700065,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0209999999999995,1.1471244237991414,1.163944440665091,1.347200258675457,1.5856352057625371,1.5857670831064752,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0211999999999994,1.1481286410376015,1.1649456792802084,1.34629273374685,1.586594773853426,1.586726578933849,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0213999999999994,1.149132842203926,1.1659469028948024,1.3453451506381953,1.5875543418770348,1.5876860747575847,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0215999999999994,1.150137027317669,1.1669481115044618,1.3443856767182751,1.5885139098527588,1.5886455705776825,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0217999999999994,1.151141196383378,1.1679493051063219,1.3436063693070537,1.5894734777662733,1.5896050663941423,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0219999999999994,1.1521453494033267,1.168950483724302,1.3442500782771276,1.590433045623422,1.5905645622069642,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0221999999999993,1.153149486390248,1.169951647370317,1.3452196169891977,1.591392613427479,1.5915240580134196,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0223999999999993,1.1541536073600582,1.17095279605187,1.3461891521592406,1.5923521811655292,1.5924835538171465,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0225999999999993,1.1551577123163952,1.17195392975691,1.3471586837781615,1.5933117488543076,1.5934430496081404,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0227999999999993,1.1561618012683539,1.1729550485248637,1.348128211877338,1.5942713164825364,1.5944025454045914,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0229999999999992,1.1571658742063846,1.1739561523323119,1.349097736431304,1.5952308840513751,1.5953620411919474,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0231999999999992,1.1581699311695957,1.1749572412006728,1.3500672574418786,1.5961904515717606,1.5963215369765749,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0233999999999992,1.159173972148892,1.1759583151417246,1.3510367749386205,1.5971500190272763,1.597281032753017,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0235999999999992,1.1601779971701944,1.1769593741565132,1.3520062888997018,1.5981095864238568,1.59824052852764,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0237999999999992,1.1611820062207698,1.1779604182678214,1.3529757993242129,1.5990691537667998,1.599200024294987,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0239999999999991,1.1621859993233556,1.1789614474625978,1.353945306235346,1.6000287210524675,1.6001595200614247,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0241999999999991,1.1631899764674927,1.1799624617618065,1.3549148096190038,1.6009882882848843,1.6011190158187674,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.024399999999999,1.1641939376718256,1.1809634611793172,1.3558843094774602,1.6019478554519537,1.602078511574291,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.024599999999999,1.16519788295318,1.1819644456960305,1.356858408621747,1.6029074225685236,1.6030380073207198,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.024799999999999,1.1662018123302005,1.1829654153531919,1.3578448183427554,1.6038669896329112,1.6039975030707865,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.024999999999999,1.1672057257801498,1.1839663701302925,1.358831218509522,1.6048265566297004,1.6049569988090298,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.025199999999999,1.168209623337134,1.1849673100622113,1.3598176091279583,1.6057861235844257,1.6059164945500015,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.025399999999999,1.1692135049870558,1.1859682351422633,1.3608039902078417,1.606745690468074,1.6068759902782404,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.025599999999999,1.1702173707549264,1.1869691453725408,1.3617903617514457,1.6077052573018136,1.6078354860064792,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.025799999999999,1.1712212206543882,1.1879700407827385,1.3627767237530861,1.608664824077755,1.608794981727442,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.025999999999999,1.172225054671344,1.1889709213590323,1.3637630762309527,1.6096243907979442,1.609754477446586,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.026199999999999,1.1732288728435378,1.18997178709983,1.3647494191916394,1.6105839574635183,1.6107139731593634,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0263999999999989,1.1742326751495966,1.1909726380547454,1.3657357526242322,1.611543524072681,1.6116734688666838,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0265999999999988,1.1752364616263549,1.191973474194583,1.3667220765489674,1.612503090624341,1.6126329645712758,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0267999999999988,1.1762402322656271,1.1929742955393976,1.3677083909631165,1.613462657120317,1.6135924602695013,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0269999999999988,1.1772439870710514,1.1939751021047413,1.3686946958760018,1.614422223561678,1.6145519559677268,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0271999999999988,1.178247726050813,1.1949758938802462,1.3696809912858043,1.6153817899428986,1.6155114516550384,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0273999999999988,1.1792514492444752,1.1959766708920596,1.3706672772068487,1.6163413562743698,1.61647094734235,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0275999999999987,1.180255156626572,1.1957110367240147,1.3716535536427727,1.6173009225425403,1.6174304430187476,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0277999999999987,1.1812588482125648,1.1947721689890614,1.3726398205876649,1.6182604887626213,1.6183899386960547,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0279999999999987,1.1822625240138223,1.1938332942243732,1.3736260780663088,1.6192200549174687,1.6193494343688144,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0281999999999987,1.1832661840480796,1.1929337837721505,1.374612326069382,1.6201796210234534,1.620308930037936,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0283999999999986,1.1842698283116988,1.1936681483960456,1.3755985646002955,1.6211391870726175,1.6212684256997818,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0285999999999986,1.1852734568219603,1.1944096258704349,1.3765847936654154,1.6220987530641195,1.62222792135708,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0287999999999986,1.1862770695720428,1.194061041175314,1.3775710132845234,1.6230583189967092,1.6231874170125593,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0289999999999986,1.1872806665905955,1.1932033195110308,1.3785572234442043,1.6240178848805045,1.6241469126589436,69,-49.0292,0.54,0.0658,7.0,132.1,0.2,0.5
1.0291999999999986,1.18777205982542,1.1922637784108248,1.3795434241530984,1.6249774507074108,1.625106408303509,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.0293999999999985,1.1868333147485828,1.1913242304697178,1.3805296154232565,1.6259370164771554,1.6260659039426173,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.0295999999999985,1.1858945625749584,1.191077988857478,1.3815157972517227,1.6268965821913526,1.6270253995771782,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.0297999999999985,1.1849558032677123,1.1920812024413863,1.3825019696491836,1.627856147855141,1.6279848952071916,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.0299999999999985,1.1840170368432155,1.1919280580241776,1.3834881326247341,1.628815713453264,1.6289443908344765,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
1.0301999999999985,1.1830782633128365,1.1909879271302544,1.38447428617269,1.6297752790088906,1.629903886453576,1365,-43.7184,0.54,0.0658,7.0,132.1,0.2,0.5
